epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.8752139236927032,0.76575,0.428264,0.863,0.863,0.864078
2,0.00029815325108927063,0.5731678726673126,0.8465,0.569668,0.838,0.838,0.835578
3,0.00029265847744427303,0.4620698138475418,0.87125,0.435453,0.872,0.872,0.871622
4,0.0002836509786282552,0.37626552891731263,0.89025,0.467255,0.851,0.851,0.851007
5,0.0002713525491562421,0.31369848576188086,0.9135,0.481171,0.866,0.866,0.867758
6,0.0002560660171779821,0.25769132873415945,0.917,0.422663,0.861,0.861,0.862132
7,0.000238167787843871,0.15828170454502105,0.952,0.393289,0.871,0.871,0.869883
8,0.00021809857496093204,0.10645775005221367,0.9705,0.398009,0.883,0.883,0.882955
9,0.00019635254915624216,0.08299215850234032,0.97575,0.345324,0.894,0.894,0.893892
10,0.00017346516975603468,0.0587093702852726,0.9845,0.430446,0.881,0.881,0.881034
11,0.00015000000000000001,0.04606032210588455,0.98875,0.365448,0.889,0.889,0.889259
12,0.0001265348302439654,0.03671775424480438,0.99075,0.321554,0.911,0.911,0.911164
13,0.0001036474508437579,0.021429145604372025,0.9965,0.298699,0.919,0.919,0.919023
14,8.190142503906799e-05,0.016943340122699737,0.99725,0.294197,0.925,0.925,0.924912
15,6.183221215612905e-05,0.01225649943947792,0.99825,0.303644,0.913,0.913,0.912458
16,4.393398282201788e-05,0.012218766510486603,0.99775,0.285186,0.914,0.914,0.913662
17,2.86474508437579e-05,0.010877798944711685,0.99825,0.279382,0.921,0.921,0.920938
18,1.6349021371744834e-05,0.00894163802266121,0.998,0.284834,0.919,0.919,0.91894
19,7.341522555726972e-06,0.008415375590324401,0.99875,0.28198,0.92,0.92,0.919846
20,1.8467489107293517e-06,0.0076215993165969845,0.99925,0.289559,0.92,0.92,0.919944
