epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.8668420848846435,0.75875,0.577079,0.824,0.824,0.825
2,0.00029815325108927063,0.6069356613159179,0.838,0.532595,0.831,0.831,0.82925
3,0.00029265847744427303,0.4975511122941971,0.87175,0.457907,0.85,0.85,0.851044
4,0.0002836509786282552,0.35273142719268796,0.9035,0.455557,0.854,0.854,0.852772
5,0.0002713525491562421,0.321215251326561,0.9095,0.46092,0.86,0.86,0.859795
6,0.0002560660171779821,0.22841570100188255,0.934,0.449404,0.867,0.867,0.866773
7,0.000238167787843871,0.1777620089352131,0.945,0.453257,0.877,0.877,0.877921
8,0.00021809857496093204,0.1350211477279663,0.95875,0.367165,0.88,0.88,0.879355
9,0.00019635254915624216,0.07278247851133346,0.97825,0.389577,0.879,0.879,0.878799
10,0.00017346516975603468,0.07078957548737526,0.98075,0.345716,0.899,0.899,0.899125
11,0.00015000000000000001,0.04359900575876236,0.98925,0.344106,0.907,0.907,0.907718
12,0.0001265348302439654,0.03488263523578644,0.992,0.277145,0.912,0.912,0.912296
13,0.0001036474508437579,0.02167561137676239,0.99525,0.309177,0.909,0.909,0.90938
14,8.190142503906799e-05,0.022378331184387208,0.99475,0.286092,0.908,0.908,0.907904
15,6.183221215612905e-05,0.013951317250728608,0.9975,0.288474,0.912,0.912,0.911922
16,4.393398282201788e-05,0.011270486921072007,0.9985,0.286531,0.913,0.913,0.913147
17,2.86474508437579e-05,0.011741673946380616,0.99825,0.271493,0.913,0.913,0.912882
18,1.6349021371744834e-05,0.00953758329153061,0.999,0.273389,0.916,0.916,0.915904
19,7.341522555726972e-06,0.008278397083282471,0.999,0.273056,0.917,0.917,0.916883
20,1.8467489107293517e-06,0.008662859052419663,0.99925,0.275765,0.915,0.915,0.915027
