epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.8799905670080498,0.7563384040565786,0.596913,0.805,0.805,0.803618
2,0.00029815325108927063,0.5950509674125333,0.8372030958099813,0.484747,0.836,0.836,0.836801
3,0.00029265847744427303,0.47657613165941054,0.8681611956231652,0.483556,0.858,0.858,0.858014
4,0.0002836509786282552,0.39033277517705084,0.8943154523618895,0.42467,0.856,0.856,0.857095
5,0.0002713525491562421,0.3071810977440501,0.904190018681612,0.474112,0.853,0.853,0.853513
6,0.0002560660171779821,0.2654312204640167,0.9188684280757939,0.499553,0.854,0.854,0.854535
7,0.000238167787843871,0.21156661247042677,0.9340805978115826,0.401346,0.878,0.878,0.877003
8,0.00021809857496093204,0.13311010362117615,0.9591673338670936,0.467316,0.871,0.871,0.870549
9,0.00019635254915624216,0.14533266156697103,0.9540966106218308,0.415587,0.877,0.877,0.875481
10,0.00017346516975603468,0.07030307263541546,0.9778489458233254,0.327108,0.903,0.903,0.903044
11,0.00015000000000000001,0.047843985631366014,0.9898585535094743,0.338891,0.89,0.89,0.890134
12,0.0001265348302439654,0.041229014527743614,0.9901254336802775,0.323159,0.899,0.899,0.899057
13,0.0001036474508437579,0.040795708071686025,0.9903923138510808,0.309713,0.903,0.903,0.903074
14,8.190142503906799e-05,0.021922729159788604,0.996530557779557,0.302848,0.913,0.913,0.912784
15,6.183221215612905e-05,0.01658224235610673,0.9967974379503602,0.281625,0.921,0.921,0.920834
16,4.393398282201788e-05,0.01586968510396518,0.9967974379503602,0.281026,0.92,0.92,0.919775
17,2.86474508437579e-05,0.01459211637600282,0.9973311982919669,0.287812,0.916,0.916,0.915258
18,1.6349021371744834e-05,0.01298704427625454,0.9981318388043768,0.285296,0.914,0.914,0.913683
19,7.341522555726972e-06,0.011080985328106521,0.9989324793167867,0.273869,0.919,0.919,0.918958
20,1.8467489107293517e-06,0.010939005027620323,0.9989324793167867,0.276603,0.923,0.923,0.922685
