epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,1.3163456115722656,0.473,1.299575,0.519126,0.48841,0.465904
2,0.00029815325108927063,0.9073789386749268,0.663,1.454847,0.502732,0.560627,0.513874
3,0.00029265847744427303,0.6826542959213256,0.752,1.215029,0.579235,0.595263,0.582877
4,0.0002836509786282552,0.5205012822151184,0.815,1.23351,0.57377,0.602974,0.566428
5,0.0002713525491562421,0.48343428993225096,0.834,1.105901,0.612022,0.598764,0.591875
6,0.0002560660171779821,0.3665383582115173,0.868,1.274926,0.622951,0.624735,0.612352
7,0.000238167787843871,0.32081835317611695,0.898,1.34987,0.606557,0.616742,0.588949
8,0.00021809857496093204,0.22358896279335022,0.923,1.360472,0.617486,0.61717,0.602412
9,0.00019635254915624216,0.20353115463256835,0.936,1.492808,0.598361,0.60092,0.592844
10,0.00017346516975603468,0.19631846225261687,0.94,1.314406,0.614754,0.628149,0.612286
11,0.00015000000000000001,0.13650447368621826,0.964,1.329455,0.647541,0.644186,0.637933
12,0.0001265348302439654,0.10435153651237487,0.961,1.258333,0.647541,0.639215,0.629222
13,0.0001036474508437579,0.09346836435794831,0.97,1.339533,0.614754,0.610387,0.604215
14,8.190142503906799e-05,0.0771237782239914,0.975,1.343791,0.625683,0.622811,0.614818
15,6.183221215612905e-05,0.07598755097389222,0.98,1.275736,0.653005,0.64551,0.637537
16,4.393398282201788e-05,0.06278882420063019,0.976,1.31485,0.650273,0.639132,0.630823
17,2.86474508437579e-05,0.05871932375431061,0.981,1.341381,0.653005,0.642962,0.635734
18,1.6349021371744834e-05,0.05728162920475006,0.986,1.311874,0.653005,0.643299,0.636167
19,7.341522555726972e-06,0.05917054009437561,0.985,1.315336,0.647541,0.63961,0.634096
20,1.8467489107293517e-06,0.05641273868083954,0.98,1.294909,0.653005,0.637037,0.63548
